file,assembly,part,color,role,size_x_mm,size_y_mm,size_z_mm,assembly_tx_mm,assembly_ty_mm,assembly_tz_mm,volume_cm3,units
003_skirt_apron_01.stl,pelvis,skirt_apron,ivory,cosmetic exterior,3.007,145.007,64.007,76.496672,-72.503328,475.996672,27.3533,mm
004_waist_band_01.stl,pelvis,waist_band,bright_silver,cosmetic exterior,64.0,128.0,12.0,-64.0,-64.0,531.999999,2.7674,mm
004_waist_band_02.stl,pelvis,waist_band,bright_silver,cosmetic exterior,55.739,37.776,6.6,-55.738996,-64.0,532.0,0.9605,mm
004_waist_band_03.stl,pelvis,waist_band,bright_silver,cosmetic exterior,55.739,37.776,6.6,-55.738996,26.224499,532.0,0.9605,mm
004_waist_band_04.stl,pelvis,waist_band,bright_silver,cosmetic exterior,64.0,128.0,12.0,-0.0,-64.0,531.999999,2.7674,mm
004_waist_band_05.stl,pelvis,waist_band,bright_silver,cosmetic exterior,55.739,37.776,6.6,-0.0,-64.0,532.0,0.9605,mm
004_waist_band_06.stl,pelvis,waist_band,bright_silver,cosmetic exterior,55.739,37.776,6.6,-0.0,26.224499,532.0,0.9605,mm
005_torso_shell_01.stl,torso,torso_shell,graphite,cosmetic exterior,76.083,113.115,166.307,-76.081896,-113.11543,549.0,52.9683,mm
005_torso_shell_02.stl,torso,torso_shell,graphite,cosmetic exterior,76.083,113.115,166.307,-76.081896,-0.0,549.0,52.9691,mm
005_torso_shell_03.stl,torso,torso_shell,graphite,cosmetic exterior,76.08,113.115,166.307,0.001554,-113.11543,549.0,52.9678,mm
005_torso_shell_04.stl,torso,torso_shell,graphite,cosmetic exterior,76.08,113.115,166.307,0.001554,-0.0,549.0,52.9671,mm
006_chest_apron_01.stl,torso,chest_apron,ivory,cosmetic exterior,36.736,133.593,114.593,43.96972,-66.796429,573.703571,44.7674,mm
007_collar_0_01.stl,torso,collar_0,ivory,cosmetic exterior,10.019,60.857,42.879,56.990492,-65.428294,677.560047,13.5045,mm
008_collar_2_01.stl,torso,collar_2,ivory,cosmetic exterior,10.019,60.858,42.88,56.990492,4.571706,677.560047,13.5046,mm
009_chest_badge_01.stl,torso,chest_badge,copper,cosmetic exterior,3.0,26.0,26.0,78.5,-13.0,650.0,1.5257,mm
010_badge_center_01.stl,torso,badge_center,bright_silver,cosmetic exterior,2.0,14.0,14.0,81.5,-7.0,656.0,0.3079,mm
011_apron_button_638_01.stl,torso,apron_button_638,graphite,cosmetic exterior,7.6,7.6,7.6,75.2,-3.8,634.2,0.2075,mm
012_apron_button_624_01.stl,torso,apron_button_624,graphite,cosmetic exterior,7.638,7.633,7.643,75.183585,-3.816415,620.178377,0.2298,mm
013_apron_button_610_01.stl,torso,apron_button_610,graphite,cosmetic exterior,7.638,7.633,7.643,75.183585,-3.816415,606.178377,0.2298,mm
014_neck_sleeve_01.stl,neck_yaw_link,neck_sleeve,silver,cosmetic exterior,19.0,38.0,26.0,-19.0,-19.0,734.0,3.4894,mm
014_neck_sleeve_02.stl,neck_yaw_link,neck_sleeve,silver,cosmetic exterior,19.0,38.0,26.0,-0.0,-19.0,734.0,3.4894,mm
015_neck_base_01.stl,torso,neck_base,graphite,cosmetic exterior,20.0,40.0,30.0,-20.0,-20.0,713.0,6.7858,mm
015_neck_base_02.stl,torso,neck_base,graphite,cosmetic exterior,20.0,40.0,30.0,-0.0,-20.0,713.0,6.7858,mm
016_head_shell_01.stl,head,head_shell,bright_silver,cosmetic exterior,58.048,143.095,108.095,-58.047541,-71.547541,765.952459,88.3489,mm
016_head_shell_02.stl,head,head_shell,bright_silver,cosmetic exterior,58.048,143.095,108.095,0.0,-71.547541,765.952459,88.3489,mm
017_camera_mount_bezel_01.stl,head,camera_mount_bezel,graphite,cosmetic exterior,13.024,69.012,40.024,54.488115,-69.011885,805.988115,9.5714,mm
017_camera_mount_bezel_02.stl,head,camera_mount_bezel,graphite,cosmetic exterior,1.1,57.625,36.258,54.5,-57.624541,807.871102,2.0944,mm
017_camera_mount_bezel_03.stl,head,camera_mount_bezel,graphite,cosmetic exterior,13.024,69.012,40.024,54.488115,-0.0,805.988115,9.5714,mm
017_camera_mount_bezel_04.stl,head,camera_mount_bezel,graphite,cosmetic exterior,1.1,57.625,36.258,54.5,-0.0,807.871102,2.0944,mm
018_d455_housing_01.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,3.0,60.621,25.165,51.5,-60.621063,813.417424,2.91,mm
018_d455_housing_02.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,8.2,62.0,26.0,56.9,-62.0,813.0,2.0922,mm
018_d455_housing_03.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,13.012,62.012,26.024,67.5,-62.011885,812.988115,5.8413,mm
018_d455_housing_04.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,3.0,60.621,25.165,51.5,0.0,813.417424,2.91,mm
018_d455_housing_05.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,8.2,62.0,26.0,56.9,0.0,813.0,2.0922,mm
018_d455_housing_06.stl,head,d455_housing,graphite,D455 envelope mock-up; remove when fitting a real camera,13.012,62.012,26.024,67.5,0.0,812.988115,5.8413,mm
019_d455_front_panel_01.stl,head,d455_front_panel,black,cosmetic exterior,2.004,120.004,22.004,79.998098,-60.001902,814.998098,4.0949,mm
020_camera_optical_window_0_01.stl,head,camera_optical_window_0,graphite,optical window mock-up; not a printable lens,1.006,8.006,8.006,81.997203,-51.502797,821.997203,0.0503,mm
021_camera_optical_window_1_01.stl,head,camera_optical_window_1,graphite,optical window mock-up; not a printable lens,1.006,8.006,8.006,81.997203,-20.002797,821.997203,0.0503,mm
022_camera_optical_window_2_01.stl,head,camera_optical_window_2,graphite,optical window mock-up; not a printable lens,1.006,8.006,8.006,81.997203,10.997203,821.997203,0.0503,mm
023_camera_optical_window_3_01.stl,head,camera_optical_window_3,graphite,optical window mock-up; not a printable lens,1.006,8.006,8.006,81.997203,43.497203,821.997203,0.0503,mm
024_head_service_plate_m1_01.stl,head,head_service_plate_m1,graphite,cosmetic exterior,62.005,1.603,54.005,-38.002377,-73.102377,789.997623,5.3063,mm
025_head_fastener_m1_801_01.stl,head,head_fastener_m1_801,silver,cosmetic exterior,5.6,1.9,5.6,-27.8,-75.0,798.2,0.0468,mm
026_head_fastener_m1_834_01.stl,head,head_fastener_m1_834,silver,cosmetic exterior,5.6,1.9,5.6,-27.8,-75.0,831.2,0.0468,mm
027_head_service_plate_1_01.stl,head,head_service_plate_1,graphite,cosmetic exterior,62.005,1.603,54.005,-38.002377,71.499301,789.997623,5.3063,mm
028_head_fastener_1_801_01.stl,head,head_fastener_1_801,silver,cosmetic exterior,5.6,1.9,5.6,-27.8,73.1,798.2,0.0468,mm
029_head_fastener_1_834_01.stl,head,head_fastener_1_834,silver,cosmetic exterior,5.6,1.9,5.6,-27.8,73.1,831.2,0.0468,mm
030_lidar_pedestal_01.stl,head,lidar_pedestal,graphite,cosmetic exterior,36.0,36.0,11.0,-24.0,-18.0,874.0,11.1966,mm
031_lidar_base_01.stl,head,lidar_base,graphite,cosmetic exterior,64.045,64.045,5.045,-38.022378,-32.022378,883.477622,14.5581,mm
032_lidar_upper_cap_01.stl,head,lidar_upper_cap,graphite,lidar housing mock-up; cap needs a transparent support for display,62.043,62.043,6.043,-37.021678,-31.021678,908.378322,18.1144,mm
033_lidar_cap_trim_01.stl,head,lidar_cap_trim,copper,cosmetic exterior,62.444,62.444,2.044,-37.221818,-31.221818,908.978182,0.0782,mm
034_left_thigh_shell_01.stl,left_thigh,left_thigh_shell,silver,cosmetic exterior,39.0,78.0,155.0,-39.0,36.0,283.0,41.267,mm
034_left_thigh_shell_02.stl,left_thigh,left_thigh_shell,silver,cosmetic exterior,39.0,78.0,155.0,-0.0,36.0,283.0,41.267,mm
035_left_shin_shell_01.stl,left_shin,left_shin_shell,silver,cosmetic exterior,34.0,68.0,158.0,-34.0,41.0,88.0,36.7,mm
035_left_shin_shell_02.stl,left_shin,left_shin_shell,silver,cosmetic exterior,34.0,68.0,158.0,-0.0,41.0,88.0,36.7,mm
036_left_hip_hub_01.stl,left_thigh,left_hip_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,46.0,439.0,16.8546,mm
036_left_hip_hub_02.stl,left_thigh,left_hip_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,75.0,439.0,16.8546,mm
037_left_hip_disc_01.stl,left_thigh,left_hip_disc,bright_silver,cosmetic exterior,28.02,4.02,28.02,-14.00979,104.99021,445.99021,2.463,mm
038_left_hip_bolt_01.stl,left_thigh,left_hip_bolt,graphite,cosmetic exterior,11.0,3.5,11.0,-5.5,109.0,454.5,0.3326,mm
039_left_knee_hub_01.stl,left_shin,left_knee_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,46.0,244.0,16.8546,mm
039_left_knee_hub_02.stl,left_shin,left_knee_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,75.0,244.0,16.8546,mm
040_left_knee_disc_01.stl,left_shin,left_knee_disc,bright_silver,cosmetic exterior,28.02,4.02,28.02,-14.00979,104.99021,250.99021,2.463,mm
041_left_knee_bolt_01.stl,left_shin,left_knee_bolt,graphite,cosmetic exterior,11.0,3.5,11.0,-5.5,109.0,259.5,0.3326,mm
042_left_ankle_hub_01.stl,left_foot,left_ankle_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,46.0,49.0,16.8546,mm
042_left_ankle_hub_02.stl,left_foot,left_ankle_hub,graphite,visual joint cover; not a bearing,42.0,29.0,42.0,-21.0,75.0,49.0,16.8546,mm
043_left_ankle_disc_01.stl,left_foot,left_ankle_disc,bright_silver,cosmetic exterior,28.02,4.02,28.02,-14.00979,104.99021,55.99021,2.463,mm
044_left_ankle_bolt_01.stl,left_foot,left_ankle_bolt,graphite,cosmetic exterior,11.0,3.5,11.0,-5.5,109.0,64.5,0.3326,mm
045_left_boot_shell_01.stl,left_foot,left_boot_shell,silver,cosmetic exterior,85.033,92.067,67.067,-62.533278,28.966722,-0.033278,64.3983,mm
